"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 15 08:48:05 UTC 2025","Mon Sep 15 08:48:38 UTC 2025","32762","Suite","Test","GSMBManagement.ActivationPageTest","GSMBManagement.ActivationPageTest","navigateToActivation","navigateToActivation",""
"passed","Mon Sep 15 08:21:47 UTC 2025","Mon Sep 15 08:21:55 UTC 2025","8351","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testDatePickerFields","testDatePickerFields",""
"broken","Mon Sep 15 08:16:54 UTC 2025","Mon Sep 15 08:17:27 UTC 2025","32771","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","openRoyaltyModal","openRoyaltyModal",""
"passed","Mon Sep 15 08:39:26 UTC 2025","Mon Sep 15 08:39:26 UTC 2025","164","Suite","Test","MiningEngineer.AppointmentsTabNavigationTest","MiningEngineer.AppointmentsTabNavigationTest","testSwitchToHoldTab","testSwitchToHoldTab",""
"broken","Mon Sep 15 08:10:26 UTC 2025","Mon Sep 15 08:10:58 UTC 2025","32761","Suite","Test","MLOwner.MLOwnerButtonTabsTest","MLOwner.MLOwnerButtonTabsTest","testRequestedLicensesButton","testRequestedLicensesButton",""
"skipped","Mon Sep 15 08:17:27 UTC 2025","Mon Sep 15 08:17:27 UTC 2025","0","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","selectMasterCardAndPay","selectMasterCardAndPay",""
"broken","Mon Sep 15 08:09:11 UTC 2025","Mon Sep 15 08:09:47 UTC 2025","35737","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","testMissingMandatoryField","testMissingMandatoryField",""
"skipped","Mon Sep 15 08:16:43 UTC 2025","Mon Sep 15 08:16:43 UTC 2025","0","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","submitDispatchForm","submitDispatchForm",""
"skipped","Mon Sep 15 08:04:46 UTC 2025","Mon Sep 15 08:04:46 UTC 2025","1","Suite","Test","Home.Resetpassword","Home.Resetpassword","testFetchResetLinkTimeout","testFetchResetLinkTimeout",""
"broken","Mon Sep 15 08:20:01 UTC 2025","Mon Sep 15 08:20:37 UTC 2025","35616","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","formShouldResetOnModalReopen","formShouldResetOnModalReopen",""
"skipped","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","0","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyTopDestinationsChart","verifyTopDestinationsChart",""
"skipped","Mon Sep 15 08:09:11 UTC 2025","Mon Sep 15 08:09:11 UTC 2025","0","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","uploadRequiredFiles","uploadRequiredFiles",""
"skipped","Mon Sep 15 08:04:34 UTC 2025","Mon Sep 15 08:04:34 UTC 2025","0","Suite","Test","Home.homepage","Home.homepage","testLoginButton","testLoginButton",""
"broken","Mon Sep 15 08:43:40 UTC 2025","Mon Sep 15 08:43:45 UTC 2025","5010","Suite","Test","MiningEngineer.HoldModalScheduled","MiningEngineer.HoldModalScheduled","testHoldModalCloseButton","testHoldModalCloseButton",""
"broken","Mon Sep 15 08:04:34 UTC 2025","Mon Sep 15 08:04:34 UTC 2025","2","Suite","Test","Home.homepage","Home.homepage","setup","setup",""
"broken","Mon Sep 15 08:05:14 UTC 2025","Mon Sep 15 08:05:47 UTC 2025","32788","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testViewAllLicensesCard","testViewAllLicensesCard",""
"passed","Mon Sep 15 08:39:36 UTC 2025","Mon Sep 15 08:39:51 UTC 2025","15258","Suite","Test","MiningEngineer.AppointmentsViewDetailsTest","MiningEngineer.AppointmentsViewDetailsTest","testViewDetailsInPendingTab","testViewDetailsInPendingTab",""
"skipped","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","0","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyMiningLicenseChart","verifyMiningLicenseChart",""
"skipped","Mon Sep 15 08:37:33 UTC 2025","Mon Sep 15 08:37:33 UTC 2025","0","Suite","Test","PoliceOfficer.validnumber","PoliceOfficer.validnumber","checkValidVehicleNumber","Check for a valid vehicle number",""
"skipped","Mon Sep 15 08:04:35 UTC 2025","Mon Sep 15 08:04:35 UTC 2025","0","Suite","Test","Home.Register","Home.Register","testRegisterGSMBOfficer","testRegisterGSMBOfficer",""
"passed","Mon Sep 15 08:18:03 UTC 2025","Mon Sep 15 08:18:39 UTC 2025","35700","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","invalidCardDetailsShouldFail","invalidCardDetailsShouldFail",""
"passed","Mon Sep 15 08:30:13 UTC 2025","Mon Sep 15 08:30:57 UTC 2025","44328","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testPhysicalMeetingApprovalWorkflow","testPhysicalMeetingApprovalWorkflow",""
"skipped","Mon Sep 15 08:37:32 UTC 2025","Mon Sep 15 08:37:32 UTC 2025","0","Suite","Test","PoliceOfficer.policeofficersignin","PoliceOfficer.policeofficersignin","verifyLogoutFunctionality","Verify the logout functionality",""
"skipped","Mon Sep 15 08:04:46 UTC 2025","Mon Sep 15 08:04:46 UTC 2025","0","Suite","Test","Home.Resetpassword","Home.Resetpassword","testRequestPasswordResetWithInvalidEmail","testRequestPasswordResetWithInvalidEmail",""
"passed","Mon Sep 15 08:36:56 UTC 2025","Mon Sep 15 08:36:56 UTC 2025","186","Suite","Test","PoliceOfficer.policeofficersignin","PoliceOfficer.policeofficersignin","navigateToSignInPage","Navigate from homepage to the Sign In page",""
"skipped","Mon Sep 15 08:38:47 UTC 2025","Mon Sep 15 08:38:47 UTC 2025","0","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","enterInvalidVehicleNumberFormat","enterInvalidVehicleNumberFormat",""
"skipped","Mon Sep 15 08:04:46 UTC 2025","Mon Sep 15 08:04:46 UTC 2025","1","Suite","Test","Home.Resetpassword","Home.Resetpassword","testRequestPasswordReset","testRequestPasswordReset",""
"passed","Mon Sep 15 08:22:52 UTC 2025","Mon Sep 15 08:23:07 UTC 2025","15309","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testCompleteAddLicenseWorkflow","testCompleteAddLicenseWorkflow",""
"passed","Mon Sep 15 08:39:14 UTC 2025","Mon Sep 15 08:39:14 UTC 2025","22","Suite","Test","MiningEngineer.AppointmentsSetDateTest","MiningEngineer.AppointmentsSetDateTest","testSetDateButtonVisibility","testSetDateButtonVisibility",""
"skipped","Mon Sep 15 08:12:15 UTC 2025","Mon Sep 15 08:12:15 UTC 2025","0","Suite","Test","MLOwner.LicensesPageTest","MLOwner.LicensesPageTest","testBrokenHistoryNavigation","testBrokenHistoryNavigation",""
"passed","Mon Sep 15 08:20:40 UTC 2025","Mon Sep 15 08:20:45 UTC 2025","5037","Suite","Test","GSMBOfficer.GsmbOfficerSignin","GSMBOfficer.GsmbOfficerSignin","testValidLogin","testValidLogin",""
"passed","Mon Sep 15 08:34:13 UTC 2025","Mon Sep 15 08:34:24 UTC 2025","10654","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testFilterReset","testFilterReset",""
"passed","Mon Sep 15 08:24:43 UTC 2025","Mon Sep 15 08:28:09 UTC 2025","205949","Suite","Test","GSMBOfficer.GSMBmlTab","GSMBOfficer.GSMBmlTab","gsmbSignin","gsmbSignin",""
"passed","Mon Sep 15 08:29:51 UTC 2025","Mon Sep 15 08:29:59 UTC 2025","7576","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testNavigateToMiningLicenseTab","testNavigateToMiningLicenseTab",""
"passed","Mon Sep 15 08:23:32 UTC 2025","Mon Sep 15 08:23:42 UTC 2025","9404","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testScheduleButtonFunctionality","testScheduleButtonFunctionality",""
"passed","Mon Sep 15 08:24:07 UTC 2025","Mon Sep 15 08:24:19 UTC 2025","12027","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testPurposeFieldFunctionality","testPurposeFieldFunctionality",""
"skipped","Mon Sep 15 08:04:35 UTC 2025","Mon Sep 15 08:04:35 UTC 2025","1","Suite","Test","Home.Register","Home.Register","testRegisterPolice","testRegisterPolice",""
"passed","Mon Sep 15 08:38:54 UTC 2025","Mon Sep 15 08:38:54 UTC 2025","71","Suite","Test","GeneralPublic.InvalidNumber","GeneralPublic.InvalidNumber","navigateToPublicPage","navigateToPublicPage",""
"passed","Mon Sep 15 08:05:02 UTC 2025","Mon Sep 15 08:05:13 UTC 2025","11134","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testLogin","testLogin",""
"broken","Mon Sep 15 08:47:24 UTC 2025","Mon Sep 15 08:47:54 UTC 2025","30204","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyOfficerActivationPage","verifyOfficerActivationPage",""
"skipped","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","1","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyPieChartsPresence","verifyPieChartsPresence",""
"passed","Mon Sep 15 08:23:55 UTC 2025","Mon Sep 15 08:24:07 UTC 2025","12353","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testLocationFieldFunctionality","testLocationFieldFunctionality",""
"skipped","Mon Sep 15 08:12:15 UTC 2025","Mon Sep 15 08:12:15 UTC 2025","0","Suite","Test","MLOwner.LicensesPageTest","MLOwner.LicensesPageTest","testCardContentsAndHistoryButton","testCardContentsAndHistoryButton",""
"broken","Mon Sep 15 08:06:20 UTC 2025","Mon Sep 15 08:06:53 UTC 2025","32795","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testViewRequestedLicensesModal","testViewRequestedLicensesModal",""
