"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 08:15:02 GMT 2025","Tue Sep 23 08:15:02 GMT 2025","23","Suite","Test","MiningEngineer.AppointmentsSetDateTest","MiningEngineer.AppointmentsSetDateTest","testSetDateButtonVisibility","testSetDateButtonVisibility",""
"broken","Tue Sep 23 08:08:09 GMT 2025","Tue Sep 23 08:08:50 GMT 2025","41430","Suite","Test","GSMBOfficer.ValidateLicense","GSMBOfficer.ValidateLicense","testLicenseValidationWorkflow","testLicenseValidationWorkflow",""
"broken","Tue Sep 23 08:07:25 GMT 2025","Tue Sep 23 08:08:06 GMT 2025","41249","Suite","Test","GSMBOfficer.ValidateLicense","GSMBOfficer.ValidateLicense","testOpenLicenseValidationModal","testOpenLicenseValidationModal",""
"broken","Tue Sep 23 08:18:43 GMT 2025","Tue Sep 23 08:19:23 GMT 2025","40352","Suite","Test","MiningEngineer.HoldModalScheduled","MiningEngineer.HoldModalScheduled","testHoldModalRequiredValidation","testHoldModalRequiredValidation",""
"passed","Tue Sep 23 08:21:56 GMT 2025","Tue Sep 23 08:22:03 GMT 2025","6608","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","loginToDashboard","loginToDashboard",""
"passed","Tue Sep 23 07:32:46 GMT 2025","Tue Sep 23 07:32:52 GMT 2025","6319","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testLogin","testLogin",""
"passed","Tue Sep 23 08:21:40 GMT 2025","Tue Sep 23 08:21:46 GMT 2025","6183","Suite","Test","MiningEngineer.RejectedLicensesTableTest","MiningEngineer.RejectedLicensesTableTest","testBasicInteraction","testBasicInteraction",""
"passed","Tue Sep 23 07:33:56 GMT 2025","Tue Sep 23 07:34:31 GMT 2025","34774","Suite","Test","MLOwner.mlownersingin","MLOwner.mlownersingin","testSinhalaVersion","testSinhalaVersion",""
"skipped","Tue Sep 23 07:32:37 GMT 2025","Tue Sep 23 07:32:37 GMT 2025","0","Suite","Test","Home.Register","Home.Register","testRegisterGSMBOfficer","testRegisterGSMBOfficer",""
"passed","Tue Sep 23 07:50:05 GMT 2025","Tue Sep 23 07:50:13 GMT 2025","8555","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testMultipleFileUploads","testMultipleFileUploads",""
"passed","Tue Sep 23 07:45:16 GMT 2025","Tue Sep 23 07:45:21 GMT 2025","5542","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","invalidLoginShouldFail","invalidLoginShouldFail",""
"passed","Tue Sep 23 07:32:58 GMT 2025","Tue Sep 23 07:33:03 GMT 2025","5197","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testRequestMiningLicenseCard","testRequestMiningLicenseCard",""
"passed","Tue Sep 23 07:49:33 GMT 2025","Tue Sep 23 07:49:42 GMT 2025","8528","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testDatePickerFields","testDatePickerFields",""
"passed","Tue Sep 23 07:43:26 GMT 2025","Tue Sep 23 07:43:31 GMT 2025","5562","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","validateLicenseAndRoute1","validateLicenseAndRoute1",""
"passed","Tue Sep 23 07:45:07 GMT 2025","Tue Sep 23 07:45:15 GMT 2025","8072","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","testFormValidationWithEmptyFields","testFormValidationWithEmptyFields",""
"passed","Tue Sep 23 08:15:14 GMT 2025","Tue Sep 23 08:15:14 GMT 2025","158","Suite","Test","MiningEngineer.AppointmentsTabNavigationTest","MiningEngineer.AppointmentsTabNavigationTest","testSwitchToPendingTab","testSwitchToPendingTab",""
"passed","Tue Sep 23 07:33:16 GMT 2025","Tue Sep 23 07:33:21 GMT 2025","5065","Suite","Test","MLOwner.mlownersingin","MLOwner.mlownersingin","mlsignin","mlsignin",""
"passed","Tue Sep 23 07:36:18 GMT 2025","Tue Sep 23 07:36:23 GMT 2025","4972","Suite","Test","MLOwner.MLOwnerButtonTabsTest","MLOwner.MLOwnerButtonTabsTest","testLogin","testLogin",""
"passed","Tue Sep 23 07:51:26 GMT 2025","Tue Sep 23 07:51:35 GMT 2025","9312","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testScheduleButtonFunctionality","testScheduleButtonFunctionality",""
"passed","Tue Sep 23 07:48:51 GMT 2025","Tue Sep 23 07:48:54 GMT 2025","3391","Suite","Test","GSMBOfficer.GsmbOfficerSignin","GSMBOfficer.GsmbOfficerSignin","testSigninFormElementsInteraction","testSigninFormElementsInteraction",""
"broken","Tue Sep 23 08:17:13 GMT 2025","Tue Sep 23 08:17:53 GMT 2025","40242","Suite","Test","MiningEngineer.ApproveModalScheduled","MiningEngineer.ApproveModalScheduled","testApproveModalRequiredValidation","testApproveModalRequiredValidation",""
