"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 08:39:47 GMT 2025","Tue Sep 23 08:39:53 GMT 2025","5961","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testLogin","testLogin",""
"broken","Tue Sep 23 08:45:33 GMT 2025","Tue Sep 23 08:46:07 GMT 2025","33990","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","verifyDispatchHistoryTitleVisible","verifyDispatchHistoryTitleVisible",""
"passed","Tue Sep 23 09:16:21 GMT 2025","Tue Sep 23 09:16:26 GMT 2025","5032","Suite","Test","PoliceOfficer.policeofficersignin","PoliceOfficer.policeofficersignin","enterCredentialsAndLogin","enterCredentialsAndLogin",""
"broken","Tue Sep 23 09:07:34 GMT 2025","Tue Sep 23 09:08:15 GMT 2025","41273","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testApprovalValidationWithoutReceipt","testApprovalValidationWithoutReceipt",""
"skipped","Tue Sep 23 08:39:40 GMT 2025","Tue Sep 23 08:39:40 GMT 2025","1","Suite","Test","Home.homepage","Home.homepage","testContactSection","testContactSection",""
"passed","Tue Sep 23 09:12:17 GMT 2025","Tue Sep 23 09:12:36 GMT 2025","19779","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testPhysicalDocumentFilter","testPhysicalDocumentFilter",""
"passed","Tue Sep 23 09:28:55 GMT 2025","Tue Sep 23 09:29:02 GMT 2025","6542","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyPieChartsPresence","verifyPieChartsPresence",""
"passed","Tue Sep 23 09:21:47 GMT 2025","Tue Sep 23 09:21:47 GMT 2025","156","Suite","Test","MiningEngineer.AppointmentsTabNavigationTest","MiningEngineer.AppointmentsTabNavigationTest","testSwitchToPendingTab","testSwitchToPendingTab",""
"passed","Tue Sep 23 09:30:31 GMT 2025","Tue Sep 23 09:30:36 GMT 2025","4830","Suite","Test","GSMBManagement.ActivationPageTest","GSMBManagement.ActivationPageTest","login","login",""
"broken","Tue Sep 23 08:46:42 GMT 2025","Tue Sep 23 08:47:16 GMT 2025","33774","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","testPrintReceiptNavigation","testPrintReceiptNavigation",""
"broken","Tue Sep 23 08:39:43 GMT 2025","Tue Sep 23 08:39:43 GMT 2025","1","Suite","Test","Home.Resetpassword","Home.Resetpassword","setup","setup",""
"passed","Tue Sep 23 09:17:40 GMT 2025","Tue Sep 23 09:17:45 GMT 2025","4906","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","loginToPoliceDashboard","loginToPoliceDashboard",""
"broken","Tue Sep 23 09:26:01 GMT 2025","Tue Sep 23 09:26:41 GMT 2025","40265","Suite","Test","MiningEngineer.HoldModalScheduled","MiningEngineer.HoldModalScheduled","testHoldModalValidSubmission","testHoldModalValidSubmission",""
"passed","Tue Sep 23 08:58:00 GMT 2025","Tue Sep 23 08:58:11 GMT 2025","11082","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testViewButtonFunctionality","testViewButtonFunctionality",""
"broken","Tue Sep 23 08:47:16 GMT 2025","Tue Sep 23 08:47:50 GMT 2025","33758","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","testBackToHomeNavigation","testBackToHomeNavigation",""
"passed","Tue Sep 23 09:21:47 GMT 2025","Tue Sep 23 09:21:47 GMT 2025","158","Suite","Test","MiningEngineer.AppointmentsTabNavigationTest","MiningEngineer.AppointmentsTabNavigationTest","testSwitchToScheduledTab","testSwitchToScheduledTab",""
"passed","Tue Sep 23 09:03:05 GMT 2025","Tue Sep 23 09:03:11 GMT 2025","5665","Suite","Test","GSMBOfficer.TPLandMLview","GSMBOfficer.TPLandMLview","testViewTransportLicense","testViewTransportLicense",""
"passed","Tue Sep 23 08:50:06 GMT 2025","Tue Sep 23 08:50:11 GMT 2025","5057","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","loginToMLDashboard","loginToMLDashboard",""
"passed","Tue Sep 23 08:58:11 GMT 2025","Tue Sep 23 08:58:21 GMT 2025","9460","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testScheduleButtonFunctionality","testScheduleButtonFunctionality",""
"passed","Tue Sep 23 09:13:15 GMT 2025","Tue Sep 23 09:13:25 GMT 2025","9673","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testUnderReviewFilter","testUnderReviewFilter",""
