"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 06:52:59 GMT 2025","Tue Sep 23 06:53:03 GMT 2025","3206","Suite","Test","GeneralPublic.InvalidNumber","GeneralPublic.InvalidNumber","navigateToPublicPageTest","navigateToPublicPageTest",""
"skipped","Tue Sep 23 06:52:56 GMT 2025","Tue Sep 23 06:52:56 GMT 2025","0","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","enterAndSubmitVehicleNumber","enterAndSubmitVehicleNumber",""
"broken","Tue Sep 23 06:52:23 GMT 2025","Tue Sep 23 06:52:56 GMT 2025","32591","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","clickCheckValidityButton","clickCheckValidityButton",""
"passed","Tue Sep 23 07:01:26 GMT 2025","Tue Sep 23 07:01:33 GMT 2025","6791","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyTransportLicenseChart","verifyTransportLicenseChart",""
"passed","Tue Sep 23 06:34:31 GMT 2025","Tue Sep 23 06:34:36 GMT 2025","5001","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testNavigateToRequestMining","testNavigateToRequestMining",""
"passed","Tue Sep 23 06:41:12 GMT 2025","Tue Sep 23 06:41:20 GMT 2025","7516","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testNavigateToMiningLicenseTab","testNavigateToMiningLicenseTab",""
"passed","Tue Sep 23 06:33:57 GMT 2025","Tue Sep 23 06:34:06 GMT 2025","9563","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testInvalidDataValidation","testInvalidDataValidation",""
"broken","Tue Sep 23 06:47:29 GMT 2025","Tue Sep 23 06:48:11 GMT 2025","41350","Suite","Test","GSMBOfficer.ValidateLicense","GSMBOfficer.ValidateLicense","testCloseValidationModal","testCloseValidationModal",""
"passed","Tue Sep 23 06:53:03 GMT 2025","Tue Sep 23 06:53:07 GMT 2025","3780","Suite","Test","GeneralPublic.InvalidNumber","GeneralPublic.InvalidNumber","enterInvalidLicenseAndCheck","enterInvalidLicenseAndCheck",""
"passed","Tue Sep 23 06:20:09 GMT 2025","Tue Sep 23 06:20:17 GMT 2025","7237","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testLogin","testLogin",""
"passed","Tue Sep 23 06:28:51 GMT 2025","Tue Sep 23 06:28:56 GMT 2025","5061","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","login","login",""
"passed","Tue Sep 23 06:22:47 GMT 2025","Tue Sep 23 06:22:58 GMT 2025","10852","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","uploadRequiredFiles","uploadRequiredFiles",""
"passed","Tue Sep 23 06:24:57 GMT 2025","Tue Sep 23 06:25:03 GMT 2025","5594","Suite","Test","MLOwner.LicensesPageTest","MLOwner.LicensesPageTest","testBrokenHistoryNavigation","testBrokenHistoryNavigation",""
